Site,Confidence,File,Date,Year,Month,Day,HH,MM
R106,0.255,0.255_2_R106_20241229_145000_39.00s_42.00s.wav,29/12/2024,2024,12,29,14,50
R202,0.254,0.254_1_R202_20241018_084000_45.0s_48.0s.wav,18/10/2024,2024,10,18,8,40
R106,0.254,0.254_1_R106_20240908_190000_24.0s_27.0s.wav,08/09/2024,2024,9,8,19,0
R502,0.254,0.254_1_R502_20250103_135600_39.00s_42.00s.wav,03/01/2025,2025,1,3,13,56
R613,0.254,0.254_1_R613_20250105_173000_51.00s_54.00s.wav,05/01/2025,2025,1,5,17,30
R502,0.253,0.253_1_R502_20240813_095400_39.0s_42.0s.wav,13/08/2024,2024,8,13,9,54
R503,0.253,0.253_1_R503_20241222_155000_18.00s_21.00s.wav,22/12/2024,2024,12,22,15,50
R512,0.251,0.251_2_R512_20250105_080400_24.00s_27.00s.wav,05/01/2025,2025,1,5,8,4
R511,0.25,0.250_1_R511_20250105_085200_18.00s_21.00s.wav,05/01/2025,2025,1,5,8,52
R613,0.25,0.250_2_R613_20250103_173400_45.00s_48.00s.wav,03/01/2025,2025,1,3,17,34
R305,0.247,0.247_1_R305_20250104_181200_24.00s_27.00s.wav,04/01/2025,2025,1,4,18,12
R451,0.242,0.242_1_R451_20240805_185600_15.0s_18.0s.wav,05/08/2024,2024,8,5,18,56
R511,0.237,0.237_1_R511_20250105_084800_21.00s_24.00s.wav,05/01/2025,2025,1,5,8,48
R502,0.235,0.235_1_R502_20240813_094800_15.0s_18.0s.wav,13/08/2024,2024,8,13,9,48
R503,0.229,0.229_1_R503_20240801_173800_36.0s_39.0s.wav,01/08/2024,2024,8,1,17,38
R613,0.228,0.228_1_R613_20250102_181800_57.00s_60.00s.wav,02/01/2025,2025,1,2,18,18
R513,0.226,0.226_1_R513_20241018_105200_15.0s_18.0s.wav,18/10/2024,2024,10,18,10,52
R423,0.226,0.226_1_R423_20240426_063000_45.0s_48.0s.wav,26/04/2024,2024,4,26,6,30
R302,0.219,0.219_1_R302_20241229_141600_21.00s_24.00s.wav,29/12/2024,2024,12,29,14,16
R302,0.216,0.216_1_R302_20240806_120200_3.0s_6.0s.wav,06/08/2024,2024,8,6,12,2
R101,0.216,0.216_1_R101_20241229_163200_18.00s_21.00s.wav,29/12/2024,2024,12,29,16,32
R101,0.216,0.216_1_R101_20241222_084000_24.00s_27.00s.wav,22/12/2024,2024,12,22,8,40
R511,0.215,0.215_3_R511_20250105_085200_21.00s_24.00s.wav,05/01/2025,2025,1,5,8,52
R204,0.214,0.214_1_R204_20241222_110800_30.0s_33.0s.wav,22/12/2024,2024,12,22,11,8
R302,0.214,0.214_2_R302_20250105_095400_27.00s_30.00s.wav,05/01/2025,2025,1,5,9,54
R503,0.214,0.214_1_R503_20241222_154800_0.00s_3.00s.wav,22/12/2024,2024,12,22,15,48
R451,0.211,0.211_1_R451_20240803_073800_21.0s_24.0s.wav,03/08/2024,2024,8,3,7,38
R513,0.21,0.210_1_R513_20241030_182200_33.0s_36.0s.wav,30/10/2024,2024,10,30,18,22
R512,0.21,0.210_1_R512_20250102_184200_57.00s_60.00s.wav,02/01/2025,2025,1,2,18,42
R303,0.209,0.209_4_R303_20241219_181400_9.00s_12.00s.wav,19/12/2024,2024,12,19,18,14
R302,0.206,0.206_2_R302_20241226_145000_12.00s_15.00s.wav,26/12/2024,2024,12,26,14,50
R302,0.206,0.206_1_R302_20241223_094000_6.00s_9.00s.wav,23/12/2024,2024,12,23,9,40
R106,0.205,0.205_1_R106_20241229_145000_42.00s_45.00s.wav,29/12/2024,2024,12,29,14,50
R515,0.203,0.203_1_R515_20250106_184800_21.0s_24.0s.wav,06/01/2025,2025,1,6,18,48
R512,0.203,0.203_1_R512_20241228_183400_57.00s_60.00s.wav,28/12/2024,2024,12,28,18,34
R305,0.203,0.203_1_R305_20250105_185600_0.00s_3.00s.wav,05/01/2025,2025,1,5,18,56
R602,0.203,0.203_1_R602_20241227_184200_18.00s_21.00s.wav,27/12/2024,2024,12,27,18,42
R305,0.201,0.201_1_R305_20241230_182600_42.00s_45.00s.wav,30/12/2024,2024,12,30,18,26
R614,0.2,0.200_1_R614_20241225_125600_45.00s_48.00s.wav,25/12/2024,2024,12,25,12,56
R302,0.199,0.199_1_R302_20250105_100200_48.00s_51.00s.wav,05/01/2025,2025,1,5,10,2
R105,0.196,0.196_1_R105_20240903_191200_21.0s_24.0s.wav,03/09/2024,2024,9,3,19,12
R302,0.19,0.190_2_R302_20250105_100200_42.00s_45.00s.wav,05/01/2025,2025,1,5,10,2
R205,0.183,0.183_1_R205_20241220_113400_27.00s_30.00s.wav,20/12/2024,2024,12,20,11,34
R514,0.18,0.180_1_R514_20250103_084800_36.0s_39.0s.wav,03/01/2025,2025,1,3,8,48
R305,0.179,0.179_1_R305_20241231_180600_12.00s_15.00s.wav,31/12/2024,2024,12,31,18,6
R305,0.177,0.177_2_R305_20241228_165800_21.00s_24.00s.wav,28/12/2024,2024,12,28,16,58
R205,0.177,0.177_2_R205_20250101_183200_48.00s_51.00s.wav,01/01/2025,2025,1,1,18,32
R503,0.174,0.174_1_R503_20240814_192400_42.0s_45.0s.wav,14/08/2024,2024,8,14,19,24
R205,0.174,0.174_2_R205_20241220_141000_12.00s_15.00s.wav,20/12/2024,2024,12,20,14,10
R503,0.172,0.172_1_R503_20250105_174000_27.00s_30.00s.wav,05/01/2025,2025,1,5,17,40
R613,0.172,0.172_1_R613_20241229_183400_36.00s_39.00s.wav,29/12/2024,2024,12,29,18,34
R305,0.168,0.168_1_R305_20241223_071600_57.00s_60.00s.wav,23/12/2024,2024,12,23,7,16
R423,0.166,0.166_1_R423_20240426_070400_30.0s_33.0s.wav,26/04/2024,2024,4,26,7,4
R503,0.164,0.164_2_R503_20250105_174600_21.00s_24.00s.wav,05/01/2025,2025,1,5,17,46
R601,0.159,0.159_1_R601_20241230_180200_33.00s_36.00s.wav,30/12/2024,2024,12,30,18,2
