Site,Confidence,File,Date,Year,Month,Day,HH,MM
R512,0.826,0.826_1_R512_20241024_175400_30.0s_33.0s.wav,24/10/2024,2024,10,24,17,54
R503,0.82,0.820_1_R503_20241224_182600_48.00s_51.00s.wav,24/12/2024,2024,12,24,18,26
R613,0.82,0.820_1_R613_20241221_182200_0.00s_3.00s.wav,21/12/2024,2024,12,21,18,22
P327,0.819,0.819_1_P327_20240504_164400_48.0s_51.0s.wav,04/05/2024,2024,5,4,16,44
R305,0.816,0.816_1_R305_20241219_181400_12.00s_15.00s.wav,19/12/2024,2024,12,19,18,14
R305,0.814,0.814_1_R305_20240801_184600_6.0s_9.0s.wav,01/08/2024,2024,8,1,18,46
R101,0.814,0.814_2_R101_20241216_145200_24.00s_27.00s.wav,16/12/2024,2024,12,16,14,52
R502,0.811,0.811_1_R502_20240809_094600_24.0s_27.0s.wav,09/08/2024,2024,8,9,9,46
R101,0.807,0.807_2_R101_20241217_165200_15.00s_18.00s.wav,17/12/2024,2024,12,17,16,52
P354,0.806,0.806_1_P354_20240510_193600_15.0s_18.0s.wav,10/05/2024,2024,5,10,19,36
R613,0.799,0.799_1_R613_20241231_181600_39.00s_42.00s.wav,31/12/2024,2024,12,31,18,16
R302,0.798,0.798_1_R302_20240801_193200_33.0s_36.0s.wav,01/08/2024,2024,8,1,19,32
